,mpc_costs,llm_costs
0,403.82724899324273,1746.8025000000005
1,385.895454172007,1861.2990432098768
2,368.5682986498204,1983.7908950617289
3,351.84578242668306,2114.278055555555
4,335.7279055025949,2193.3896913580247
5,320.21466787755605,2399.2383024691353
6,305.3060695515665,2553.711388888889
7,291.002110524626,2716.179783950618
8,277.3027907967349,2886.6434876543203
9,264.208110367893,3065.102500000001
10,296.36540338543443,1314.7872222222225
11,280.3810448408274,1414.4245061728395
12,265.0013255952697,1522.0570987654323
13,250.22624564876122,1637.6850000000002
14,236.05580500130185,1710.0623765432103
15,222.49000365289183,1892.9267283950626
16,209.52884160353102,2032.540555555556
17,197.17231885321945,2180.1496913580245
18,185.42043540195715,2335.75413580247
19,174.27319124974406,2499.3538888888893
20,208.45671683389074,947.1747222222225
21,194.41979456591258,1031.9527469135803
22,180.98751159698367,1124.7260802469136
23,168.15986792710396,1225.4947222222224
24,155.93686355627347,1334.2586728395063
25,144.31849848449227,1451.0179320987656
26,133.30477271176028,1575.7725000000005
27,122.89568623807753,1708.5223765432102
28,113.09123906344404,1849.2675617283953
29,103.89143118785978,1998.0080555555553
30,140.10118933861168,643.965
31,128.01170334726234,677.7879320987653
32,116.52685665496223,756.0686728395062
33,105.64664926171136,842.3447222222222
34,95.37108116750974,936.6160802469137
35,85.70015237235734,1073.511913580247
36,76.63386287625421,1183.4072222222226
37,68.17221267920026,1267.4020061728393
38,60.31520178119558,1427.1837654320987
39,53.062830182240106,1561.0650000000003
40,91.2988208995973,405.15805555555573
41,81.15677118487676,460.21756172839514
42,71.61936076920551,523.2723765432098
43,62.686589652583464,594.3225000000001
44,54.358457835010626,673.3679320987657
45,46.634965316487055,760.4086728395065
46,39.51611209701272,855.4447222222221
47,33.00189817658763,958.4760802469137
48,27.09232355521175,1069.5027469135805
49,21.78738823288512,1188.5247222222224
50,62.04961151684754,210.541388888889
51,53.854998078755834,59.16524691358023
52,46.265023939713394,319.1496913580248
53,39.279689099720166,375.3405555555557
54,32.898993558776155,55.7711728395062
55,27.122937316881416,511.7082098765435
56,21.951520374035905,93.48500000000006
57,17.38474273023963,662.4112654320988
58,13.42260438549259,163.1800617283951
59,10.065105339794778,210.0205555555556
60,52.35356119036244,108.66500000000002
61,46.106384028899555,134.37265432098764
62,40.463846166485915,54.985339506172835
63,35.42594760312151,38.99472222222222
64,30.992688338806357,30.999413580246916
65,27.164068373540424,30.999413580246916
66,23.94008770732373,38.99472222222222
67,21.320746340156276,54.985339506172835
68,19.306044272038065,78.97126543209875
69,17.89598150296909,627.865
70,62.210669920141946,71.1913888888889
71,57.91092903530789,163.18006172839486
72,54.2158274495231,100.883487654321
73,51.12536516278753,127.72250000000003
74,48.63954217510115,70.6304320987654
75,46.75835848646405,55.77117283950611
76,45.4818140968762,256.2113888888889
77,44.809909006337534,315.03163580246917
78,44.74264321484816,59.165246913580276
79,45.28001672240798,76.28722222222223
80,91.62093770618613,98.1205555555555
81,89.26863309798088,94.10969135802466
82,87.52096778882493,258.08719135802465
83,86.37794177871821,110.07388888888887
84,85.8395550676606,174.66422839506168
85,85.90580765565234,144.94570987654316
86,86.57669954269332,123.22249999999991
87,87.85223072878348,109.49459876543202
88,89.73240121392294,103.76200617283943
89,92.21721099811157,106.02472222222224
90,140.584364548495,189.45249999999993
91,140.17949621691855,157.92820987654318
92,140.37926718439147,146.68672839506175
93,141.18367745091356,143.4405555555556
94,142.59272701648473,161.9438580246914
95,144.6064158811053,160.93413580246917
96,147.22474404477506,181.67388888888885
97,150.4477115074941,210.4089506172839
98,154.27531826926233,247.13932098765434
99,158.70756433007986,291.86499999999995
